District,Type,Population,Latino,X.Latino,White,X.White,Black,X.Black,AmericanIndian,AmericanIndian.,Asian,X.Asian,Hawaiian,X.Hawaiian,Other,X.Other,Multiracial,X.Multiracial,Total.CVP,Latino_CVAP,X.Latino_CVAP,White_CVAP,X.White_CVAP,Black_CVAP,X.Black_CVAP,Asian_CVAP,X.Asian_CVAP,AmericanIndian.1,AmericanIndian..1,Other_CVAP,X.Other_CVAP,Race,Candidate.1,Candidate.1.Party,Candidate.1.Votes,Candidate.2,Candidate.2.Party,Candidate.2.Votes,Winner,TotalVotes,VotesCVAP,Registered,Democrats,Republican,Independent,AmericansElect,Green,Libertarian,PeaceFreedom,OtherParty,NoParty,RegisCVAP,VotesRegis,housevalue,income
1,Senate,935336,100370,0.1073,742721,0.7941,17178,0.0184,23601,0.0252,42928,0.0459,2503,0.0027,2564,0.0027,3471,0.0037,672832,43386,0.0645,575841,0.8558,13448,0.02,21626,0.0321,8578,0.0127,18531,0.0275,State Senate,Julie Griffith-Flatter,DEM,150111,Ted Gaines,REP,263256,Ted Gaines,413367,0.614368817,552054,160107,247602,18556,14,4476,4923,1307,2014,113055,0.82049308,0.748780011,176891.469,40513.97935
2,Senate,928077,181288,0.1953,649081,0.6994,19522,0.021,28033,0.0302,39851,0.0429,2959,0.0032,3208,0.0035,4135,0.0045,635914,53578,0.0843,525442,0.8263,13327,0.021,20388,0.0321,12122,0.0191,23179,0.0364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524629,257811,116931,14309,9,11283,3799,1682,1766,117039,0.824999921,NA,276402.7972,43967.35484
3,Senate,928167,231855,0.2498,478177,0.5152,74348,0.0801,9325,0.01,115854,0.1248,5978,0.0064,2983,0.0032,9647,0.0104,612229,83170,0.1358,395557,0.6461,51833,0.0847,66402,0.1085,3781,0.0062,15267,0.0249,State Senate,Lois Wolk,DEM,233406,Frank Miranda,REP,119033,Lois Wolk,352439,0.575665315,488551,236422,120414,13703,21,4273,2880,1285,2025,107528,0.797987354,0.721396538,186326.087,43628.28261
4,Senate,937962,185091,0.1973,618299,0.6592,35440,0.0378,20454,0.0218,65516,0.0698,4304,0.0046,2254,0.0024,6604,0.007,622033,65324,0.105,484710,0.7792,21662,0.0348,31290,0.0503,6307,0.0101,19047,0.0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473022,161468,191902,15593,15,2977,3576,1473,2831,93187,0.760445185,NA,111382.3529,34916.19608
5,Senate,939163,354745,0.3777,377356,0.4018,61488,0.0655,9894,0.0105,117993,0.1256,6208,0.0066,2472,0.0026,9007,0.0096,541374,126875,0.2344,308480,0.5698,37201,0.0687,55519,0.1026,3897,0.0072,13299,0.0246,State Senate,Cathleen Galgiani,DEM,142425,Bill Berryhill,REP,139502,Cathleen Galgiani,281927,0.520761987,417647,177406,156731,10863,17,1188,1877,1042,2693,65830,0.77145744,0.675036574,114174.5455,32999.90909
6,Senate,936301,231979,0.2478,361967,0.3866,122831,0.1312,10031,0.0107,178668,0.1908,12198,0.013,2925,0.0031,15702,0.0168,565628,88731,0.1569,298462,0.5277,74745,0.1321,86355,0.1527,5105,0.009,17335,0.0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449767,220717,120272,11797,15,2742,2320,1958,894,89052,0.795163959,NA,137681.8182,40497.63636
7,Senate,924708,193725,0.2095,505367,0.5465,56801,0.0614,6410,0.0069,147184,0.1592,4822,0.0052,3003,0.0032,7396,0.008,569011,68701,0.1207,390810,0.6868,33715,0.0593,65393,0.1149,2312,0.0041,10392,0.0183,State Senate,Mark DeSaulnier,DEM,229105,Mark Meuser,REP,143707,Mark DeSaulnier,372812,0.655192958,510469,225226,150080,13804,15,2204,2776,915,6927,108522,0.897116224,0.730332302,275225.5814,60767.90698
8,Senate,929712,262321,0.2822,520638,0.56,37794,0.0407,18029,0.0194,81060,0.0872,2540,0.0027,2624,0.0028,4706,0.0051,606375,114240,0.1884,417945,0.6893,22535,0.0372,34677,0.0572,7542,0.0124,16978,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489046,167384,211945,15285,12,2481,2947,1174,4649,83169,0.806507524,NA,26461.77161,6948.418833
9,Senate,940601,225192,0.2394,299285,0.3182,186351,0.1981,5177,0.0055,203324,0.2162,4956,0.0053,4242,0.0045,12074,0.0128,595108,72221,0.1214,256455,0.4309,140393,0.2359,113201,0.1902,2034,0.0034,12838,0.0216,State Senate,Loni Hancock,DEM,300994,Mary Catherine McIlroy,PF,49987,Loni Hancock,350981,0.589776982,519799,331999,44010,8590,35,9188,2153,2246,23458,98120,0.873453222,0.675224462,258002.8571,48427.32857
10,Senate,923707,224711,0.2433,234751,0.2541,55199,0.0598,4449,0.0048,379834,0.4112,10663,0.0115,2419,0.0026,11681,0.0126,524928,89703,0.1709,210385,0.4008,35477,0.0676,177244,0.3377,2254,0.0043,12119,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416688,210426,72209,8720,17,2188,1945,1210,14819,105154,0.793800293,NA,322458.3333,68246.66667
